I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
36.9018,21.2,83.1,24.5,49.5344,21.5,73.3,25.7
34.7521,21.3,82.1,24.9,62.9555,21.7,73.5,25.9
33.4905,21.2,81.4,25,61.3121,21.8,73.5,26.2
34.2707,20.9,82.1,24.9,77.2066,22.2,73.8,26.7
39.8649,21,81.8,25,85.9382,22.2,71,27.4
44.2722,21.4,81.9,25.2,98.2969,22.6,68.9,27.7
50.7296,21.3,78.9,25.5,85.2327,22.6,67.3,28.1
47.2353,21.3,76.2,25.7,69.8694,22.4,67.8,28.1
48.9285,21.4,76.2,25.8,57.5107,22.4,67.7,27.9
47.642,21.3,74.4,25.9,77.0572,22.6,67.8,27.8
48.9036,21.3,74.5,25.7,50.7047,22.9,67.6,28.1
52.9291,21.6,74.3,25.7,50.4972,22.9,67.1,28.1
49.5344,21.5,73.3,25.7,84.7264,23.3,66.9,28.3
62.9555,21.7,73.5,25.9,120.5243,23.4,64.7,28.9
61.3121,21.8,73.5,26.2,120.5243,24.2,64.1,29.7
77.2066,22.2,73.8,26.7,147.9641,24.7,62.9,30.1
85.9382,22.2,71,27.4,172.391,25.1,61.1,30.8
98.2969,22.6,68.9,27.7,158.115,26,55,32.8
85.2327,22.6,67.3,28.1,129.9863,25.6,53.3,33.5
69.8694,22.4,67.8,28.1,67.2549,24.9,56.5,31.9
57.5107,22.4,67.7,27.9,116.2166,25,59.1,31
77.0572,22.6,67.8,27.8,132.9245,26.9,56.7,32.4
50.7047,22.9,67.6,28.1,94.039,25.5,55.5,32.5
50.4972,22.9,67.1,28.1,118.5987,26.2,54.5,33.2
84.7264,23.3,66.9,28.3,93.2339,26.2,54.3,33.3
120.5243,23.4,64.7,28.9,83.8134,25.5,55.9,32.5
120.5243,24.2,64.1,29.7,69.9441,25.4,57.4,31.9
147.9641,24.7,62.9,30.1,110.2406,26.5,60.2,30.9
172.391,25.1,61.1,30.8,79.9954,25.5,59.7,31.4
158.115,26,55,32.8,80.1946,26.2,59.2,31.3
129.9863,25.6,53.3,33.5,156.0898,27.2,57.8,32
67.2549,24.9,56.5,31.9,156.2143,27.1,55.3,33.2
116.2166,25,59.1,31,138.8756,28.1,56,32.6
132.9245,26.9,56.7,32.4,129.7622,27,54.2,33.5
94.039,25.5,55.5,32.5,122.0183,26.6,53.8,33.6
118.5987,26.2,54.5,33.2,106.4226,26.5,53.8,33.9
93.2339,26.2,54.3,33.3,88.146,26.7,54,33.7
83.8134,25.5,55.9,32.5,78.2192,26.2,55,33.4
69.9441,25.4,57.4,31.9,64.7234,26.1,56,32.9
110.2406,26.5,60.2,30.9,50.7545,25.9,57.5,32.4
79.9954,25.5,59.7,31.4,27.4149,25.8,60.6,31.3
80.1946,26.2,59.2,31.3,16.0937,25.3,63.3,30.4
156.0898,27.2,57.8,32,10.4995,25,66.9,29.1
156.2143,27.1,55.3,33.2,6.6068,24.5,69.7,27.9
138.8756,28.1,56,32.6,2.9548,24.4,71.8,27.1
129.7622,27,54.2,33.5,1.0873,24.2,73.7,26.7
122.0183,26.6,53.8,33.6,0.1992,24,76.1,26.2
106.4226,26.5,53.8,33.9,0.0249,23.8,77.1,26
88.146,26.7,54,33.7,0,23.7,79.1,25.7
78.2192,26.2,55,33.4,0,23.6,80.4,25.3
64.7234,26.1,56,32.9,0,23.5,81.3,25
50.7545,25.9,57.5,32.4,0,23.4,81.2,24.9
27.4149,25.8,60.6,31.3,0,23.3,82.1,24.8
16.0937,25.3,63.3,30.4,0,23.2,82.4,24.6
10.4995,25,66.9,29.1,0,23.2,83.4,24.3
6.6068,24.5,69.7,27.9,0,23.2,84,24.2
2.9548,24.4,71.8,27.1,0,23.1,84.4,24.2
1.0873,24.2,73.7,26.7,0,23.2,84.1,24.1
0.1992,24,76.1,26.2,0,23.2,84.8,23.9
0.0249,23.8,77.1,26,0,23.1,85.3,23.8
0,23.7,79.1,25.7,0,22.9,86.5,23.6
0,23.6,80.4,25.3,0,22.7,87.3,23.5
0,23.5,81.3,25,0,22.8,86.9,23.6
0,23.4,81.2,24.9,0,23,86.8,23.4
0,23.3,82.1,24.8,0,22.6,87.5,23.4
0,23.2,82.4,24.6,0,22.7,87.8,23.2
