I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
0.9545,33,54,35,0,29.4,74.2,29.5
0.1743,32.8,57.1,34.1,0,28.9,74,29.2
0.0249,32.5,58.8,33.4,0,28.5,74.6,29.1
0,31.1,59.2,32.6,0,29,74.2,29
0,31.4,62.7,32.3,0,28.6,74.8,28.8
0,30.9,64.6,31.9,0,28.8,76,28.6
0,31,66.9,31.4,0,28.6,76.9,28.4
0,30.8,68.1,31.1,0,28.7,77.7,28.3
0,30.5,68.9,30.6,0,28.5,77,28.2
0,29.8,71.2,30.3,0,28.3,76.4,28.2
0,29.8,72.7,30,0,28.5,77.7,28.1
0,29.4,73.3,29.7,0,28.2,78.7,28
0,29.4,74.2,29.5,0,28.3,79.2,27.9
0,28.9,74,29.2,0,28,80.6,27.7
0,28.5,74.6,29.1,0,28,80.1,27.6
0,29,74.2,29,0,27,80.7,27.6
0,28.6,74.8,28.8,0,27.3,80.2,27.5
0,28.8,76,28.6,0,27.3,80.1,27.4
0,28.6,76.9,28.4,0,27.4,80.3,27.4
0,28.7,77.7,28.3,0,27.6,79.3,27.3
0,28.5,77,28.2,0,27.2,81.7,27.1
0,28.3,76.4,28.2,0,27.3,82.2,27
0,28.5,77.7,28.1,0,27.2,83.2,26.9
0,28.2,78.7,28,0,27.2,83.2,26.8
0,28.3,79.2,27.9,0,27.1,83.4,26.8
0,28,80.6,27.7,0,27.1,83.6,26.7
0,28,80.1,27.6,0,26.9,84.4,26.7
0,27,80.7,27.6,0,26.7,84.1,26.6
0,27.3,80.2,27.5,0,26.6,84.1,26.5
0,27.3,80.1,27.4,0,27,84.4,26.5
0,27.4,80.3,27.4,0,26.8,84.8,26.4
0,27.6,79.3,27.3,0,26.7,84.4,26.2
0,27.2,81.7,27.1,0,26.7,83.9,26.1
0,27.3,82.2,27,0,26.5,84.9,26.1
0,27.2,83.2,26.9,0,26,86.2,26
0,27.2,83.2,26.8,0,26,84.7,26
0,27.1,83.4,26.8,0,25.7,84.6,26
0,27.1,83.6,26.7,0,25.8,84,26
0,26.9,84.4,26.7,0,26.1,85,26
0,26.7,84.1,26.6,0,25.7,84.4,26
0,26.6,84.1,26.5,0,25.7,85.5,25.7
0,27,84.4,26.5,0,25.9,85.9,25.7
0,26.8,84.8,26.4,0,26,85.5,25.6
0,26.7,84.4,26.2,0,25.9,86.3,25.5
0,26.7,83.9,26.1,0,25.8,87,25.4
0,26.5,84.9,26.1,0,25.4,87.2,25.4
0,26,86.2,26,0,25.4,87.1,25.3
0,26,84.7,26,0.0498,25.2,88,25.3
0,25.7,84.6,26,0.4482,25,87.8,25.2
0,25.8,84,26,1.5936,25,88,25.1
0,26.1,85,26,3.8429,25.2,87.2,25.2
0,25.7,84.4,26,7.0301,25.7,86.9,25.5
0,25.7,85.5,25.7,11.3378,25.4,86.3,25.5
0,25.9,85.9,25.7,23.2898,25.4,85.5,25.9
0,26,85.5,25.6,31.5898,25.9,83.2,26.4
0,25.9,86.3,25.5,38.9021,26.1,81.2,27
0,25.8,87,25.4,54.78,26.5,78.7,27.3
0,25.4,87.2,25.4,51.6094,27.2,75,28.4
0,25.4,87.1,25.3,57.4858,27.2,73.2,29.2
0.0498,25.2,88,25.3,79.182,27.7,69.5,30.3
0.4482,25,87.8,25.2,85.5647,28.2,66,31.5
1.5936,25,88,25.1,101.2849,28.4,62.6,32.5
3.8429,25.2,87.2,25.2,79.7381,28.9,60.1,33.6
7.0301,25.7,86.9,25.5,87.6646,29.3,56.9,34.4
11.3378,25.4,86.3,25.5,93.79,29.8,55.2,35.1
23.2898,25.4,85.5,25.9,91.4577,30.1,53.5,35.9
31.5898,25.9,83.2,26.4,97.8155,30.4,50.7,36.6
38.9021,26.1,81.2,27,118.8726,30.5,47.9,37.5
54.78,26.5,78.7,27.3,125.1308,30.9,46.5,38.1
51.6094,27.2,75,28.4,199.6316,30.8,43.1,39.4
57.4858,27.2,73.2,29.2,201.1505,31.3,39.5,40.7
79.182,27.7,69.5,30.3,215.5261,31.2,39.1,41.3
85.5647,28.2,66,31.5,230.74,31.4,36.4,42.1
101.2849,28.4,62.6,32.5,253.3243,31.7,36.2,42.7
79.7381,28.9,60.1,33.6,269.169,32.1,34.1,43.9
87.6646,29.3,56.9,34.4,288.9396,32.4,32.4,44.7
93.79,29.8,55.2,35.1,313.2669,32.4,31.7,45.3
91.4577,30.1,53.5,35.9,327.5761,32.8,29.9,45.5
97.8155,30.4,50.7,36.6,347.7451,32.9,29.7,46.3
118.8726,30.5,47.9,37.5,361.2409,33,29.2,46.6
125.1308,30.9,46.5,38.1,370.6116,33.2,28.3,46.9
199.6316,30.8,43.1,39.4,361.4401,33.6,26.9,47.3
201.1505,31.3,39.5,40.7,372.2052,33.3,26.4,47.8
215.5261,31.2,39.1,41.3,377.2682,33.8,26.2,47.8
230.74,31.4,36.4,42.1,368.2544,34.2,25.6,47.5
253.3243,31.7,36.2,42.7,187.5551,34.4,25.5,48.2
269.169,32.1,34.1,43.9,180.5167,34.6,25.4,48.6
288.9396,32.4,32.4,44.7,153.9152,34.8,25.9,47.8
313.2669,32.4,31.7,45.3,141.3324,34.6,24.9,47.6
327.5761,32.8,29.9,45.5,139.9878,34.8,24.5,47.1
347.7451,32.9,29.7,46.3,137.0745,35.4,26.3,47.2
361.2409,33,29.2,46.6,137.3069,35.5,24.9,47.8
370.6116,33.2,28.3,46.9,139.8384,35.3,23.7,47.8
361.4401,33.6,26.9,47.3,138.5436,35.8,24,48.4
372.2052,33.3,26.4,47.8,140.2949,35.6,25,48.1
377.2682,33.8,26.2,47.8,136.8504,35.6,24.2,47.7
368.2544,34.2,25.6,47.5,131.1815,36.2,23.3,47.5
187.5551,34.4,25.5,48.2,142.345,37.3,24.5,47
180.5167,34.6,25.4,48.6,148.4455,37,25.3,47
153.9152,34.8,25.9,47.8,109.9169,37.4,26.1,47.3
141.3324,34.6,24.9,47.6,144.8267,37.9,25.9,47.3
139.9878,34.8,24.5,47.1,142.8015,38.5,23.5,48.1
137.0745,35.4,26.3,47.2,156.1645,39.3,23.8,48.4
137.3069,35.5,24.9,47.8,177.0473,39.2,24.7,48.2
139.8384,35.3,23.7,47.8,59.6355,38.7,22.7,47.8
138.5436,35.8,24,48.4,168.9216,39.3,23.8,47.4
140.2949,35.6,25,48.1,133.049,39,23.3,47.8
136.8504,35.6,24.2,47.7,135.6552,39.4,23.1,47.7
131.1815,36.2,23.3,47.5,148.6696,39.2,23.2,48
142.345,37.3,24.5,47,153.6081,38.4,23.1,47.5
148.4455,37,25.3,47,137.863,39.8,24.3,48
109.9169,37.4,26.1,47.3,136.9749,39.6,24.8,47.2
144.8267,37.9,25.9,47.3,133.2814,39.9,23.6,47
142.8015,38.5,23.5,48.1,47.5922,40.1,25.3,46.1
156.1645,39.3,23.8,48.4,113.71,38.7,26.5,44.8
177.0473,39.2,24.7,48.2,106.5471,38,26.9,44.3
59.6355,38.7,22.7,47.8,41.915,37.5,28,43.3
168.9216,39.3,23.8,47.4,145.001,38.8,27.4,43.7
133.049,39,23.3,47.8,56.1993,38.1,27.2,43.6
135.6552,39.4,23.1,47.7,134.4932,38.9,27.2,43.7
148.6696,39.2,23.2,48,132.5427,38.8,26.8,43.8
153.6081,38.4,23.1,47.5,119.7358,38.9,26.6,44.3
137.863,39.8,24.3,48,108.4976,37.8,27,44.2
136.9749,39.6,24.8,47.2,92.1134,38,27.1,44
133.2814,39.9,23.6,47,97.0519,37.7,27.6,43.3
47.5922,40.1,25.3,46.1,75.2312,37.2,27.2,42.8
113.71,38.7,26.5,44.8,53.3109,37.3,28.1,41.9
106.5471,38,26.9,44.3,27.7137,36.6,29.3,40.5
41.915,37.5,28,43.3,13.9938,35.5,31.6,39.1
145.001,38.8,27.4,43.7,9.4122,35.1,33,37.5
56.1993,38.1,27.2,43.6,5.8183,34.6,34.8,36.2
134.4932,38.9,27.2,43.7,2.6809,34.3,36.9,35.2
132.5427,38.8,26.8,43.8,0.9545,34,39.8,34.4
119.7358,38.9,26.6,44.3,0.1992,32.9,43.2,33.4
108.4976,37.8,27,44.2,0,31.2,46.5,32.2
92.1134,38,27.1,44,0,30.7,51.3,31.7
97.0519,37.7,27.6,43.3,0,30.3,55.6,31
75.2312,37.2,27.2,42.8,0,29.9,58.2,30.4
53.3109,37.3,28.1,41.9,0,29.8,57.1,30
27.7137,36.6,29.3,40.5,0,29.2,60.9,29.7
13.9938,35.5,31.6,39.1,0,29.2,60.1,29.3
9.4122,35.1,33,37.5,0,29.2,60.4,29.1
5.8183,34.6,34.8,36.2,0,29.1,61.5,28.9
2.6809,34.3,36.9,35.2,0,28.7,64.4,28.7
0.9545,34,39.8,34.4,0,28.4,64.3,28.5
0.1992,32.9,43.2,33.4,0,28.2,65.7,28.5
0,31.2,46.5,32.2,0,28,66.2,28.3
