Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
0,28.8,83.6,29,0,28.4,86.7,28.2
0,28.7,84,28.8,0,27.8,86.6,28.2
0,28.7,84.1,28.7,0,27.8,86.7,28.2
0,28.6,85.5,28.7,0,27.8,86.8,28.1
0,28.3,86,28.5,0,27.9,87.2,28.1
0,28.6,86.3,28.5,0,28.1,86.9,28.1
0,28.4,85.4,28.4,0,27.7,86.6,28.1
0,28.4,85.3,28.4,0,27.6,86.8,28
0,28.7,85.4,28.4,0,27.4,86.9,28
0,27.9,85.7,28.4,0,27.3,86.6,28
0,27.9,86.3,28.3,0,27.3,86.9,27.9
0,28.1,86.3,28.3,0,27.3,86.9,27.9
0,28.4,86.7,28.2,0,27.2,86.9,27.8
0,27.8,86.6,28.2,0,27.3,86.8,27.8
0,27.8,86.7,28.2,0,27.4,87.2,27.7
0,27.8,86.8,28.1,0.0711,27.2,87.3,27.7
0,27.9,87.2,28.1,0.4819,27.1,87.2,27.6
0,28.1,86.9,28.1,1.6353,27,87.5,27.6
0,27.7,86.6,28.1,3.1047,26.9,87.6,27.7
0,27.6,86.8,28,5.5616,26.8,87.7,27.6
0,27.4,86.9,28,10.4517,26.8,87.5,27.7
0,27.3,86.6,28,25.3432,26.9,85.4,28.3
0,27.3,86.9,27.9,35.629,26.8,83,28.9
0,27.3,86.9,27.9,32.9351,26.7,81.9,29.2
0,27.2,86.9,27.8,55.6081,26.7,80,29.7
0,27.3,86.8,27.8,55.0788,26.7,77,30.3
0,27.4,87.2,27.7,55.1736,26.6,77.4,30.4
0.0711,27.2,87.3,27.7,67.9163,26.7,75.6,30.7
0.4819,27.1,87.2,27.6,62.7418,27,74,31.1
1.6353,27,87.5,27.6,61.1697,27.2,71.4,31.2
3.1047,26.9,87.6,27.7,67.5608,27.2,70.9,31.2
5.5616,26.8,87.7,27.6,67.2922,27.3,70.8,31.2
10.4517,26.8,87.5,27.7,72.1349,27.6,69.4,31.7
25.3432,26.9,85.4,28.3,78.4944,27.9,68.5,32
35.629,26.8,83,28.9,89.2226,28,66.6,32.6
32.9351,26.7,81.9,29.2,91.1028,28.1,66,33.1
55.6081,26.7,80,29.7,98.1101,28.4,65.1,33.6
55.0788,26.7,77,30.3,96.9567,28.3,64.7,34
55.1736,26.6,77.4,30.4,89.7045,28.7,63.2,34.1
67.9163,26.7,75.6,30.7,83.3687,29,63.7,34
62.7418,27,74,31.1,75.1448,29,64.7,33.8
61.1697,27.2,71.4,31.2,67.8215,29.5,65.6,33.5
67.5608,27.2,70.9,31.2,79,29.7,66.1,33.5
67.2922,27.3,70.8,31.2,118.3736,30,64,33.8
72.1349,27.6,69.4,31.7,114.4473,30.4,62.6,34.2
78.4944,27.9,68.5,32,135.9432,30.4,62.9,34.9
89.2226,28,66.6,32.6,137.697,30.5,59.8,35.4
91.1028,28.1,66,33.1,99.777,30.2,60.7,35
98.1101,28.4,65.1,33.6,91.2213,30.4,60.1,35.3
96.9567,28.3,64.7,34,88.4247,30.9,61.4,35.1
89.7045,28.7,63.2,34.1,88.6933,31.6,61.7,34.8
83.3687,29,63.7,34,86.6156,31.7,61.5,34.9
75.1448,29,64.7,33.8,83.9454,32.3,61.8,34.8
67.8215,29.5,65.6,33.5,90.2575,32.6,62.1,34.9
79,29.7,66.1,33.5,109.7231,32.7,61.2,35
118.3736,30,64,33.8,117.7258,31.5,59.2,35.7
114.4473,30.4,62.6,34.2,125.8944,32.5,59.4,36.2
135.9432,30.4,62.9,34.9,137.9656,32.2,54.8,37.2
137.697,30.5,59.8,35.4,151.8696,32.9,54.5,37.5
99.777,30.2,60.7,35,165.6472,32.4,54.7,37.4
91.2213,30.4,60.1,35.3,169.5261,32.8,53.7,38.2
88.4247,30.9,61.4,35.1,168.9731,33,52.1,38.6
88.6933,31.6,61.7,34.8,163.3878,34.3,50.8,39.1
86.6156,31.7,61.5,34.9,118.2077,33.5,51.1,38.8
83.9454,32.3,61.8,34.8,153.7735,33.2,49.5,39.1
90.2575,32.6,62.1,34.9,151.4825,34,48.1,39.5
109.7231,32.7,61.2,35,140.0591,34.6,47.2,39.5
117.7258,31.5,59.2,35.7,156.42,35,46.1,39.4
125.8944,32.5,59.4,36.2,139.1664,35.5,46.4,39.5
137.9656,32.2,54.8,37.2,146.7346,34.9,47,39.4
151.8696,32.9,54.5,37.5,156.4437,35.4,46.2,39.7
165.6472,32.4,54.7,37.4,146.782,36.5,46.6,39.7
169.5261,32.8,53.7,38.2,122.2999,35.3,45.4,39.6
168.9731,33,52.1,38.6,103.7744,36.4,45.5,39.2
163.3878,34.3,50.8,39.1,91.0238,36,46.7,39.3
118.2077,33.5,51.1,38.8,79.079,37.4,47.4,39.3
153.7735,33.2,49.5,39.1,71.0526,37.7,49.6,38.6
151.4825,34,48.1,39.5,47.6291,37.9,52.6,38.1
140.0591,34.6,47.2,39.5,58.0413,36.9,54.9,37.5
156.42,35,46.1,39.4,55.221,37.8,56.6,37.3
139.1664,35.5,46.4,39.5,51.5633,39.2,58.4,36.7
146.7346,34.9,47,39.4,42.3756,38,59,36.3
156.4437,35.4,46.2,39.7,37.2248,37.2,59.9,35.6
146.782,36.5,46.6,39.7,34.1122,37.6,60.6,35.3
122.2999,35.3,45.4,39.6,29.0562,36,61.5,35.1
103.7744,36.4,45.5,39.2,23.2734,35,62.1,34.9
91.0238,36,46.7,39.3,16.2582,34.1,63.3,34.5
79.079,37.4,47.4,39.3,12.3082,34.2,64.1,34.4
71.0526,37.7,49.6,38.6,9.2272,33.6,65.9,34
47.6291,37.9,52.6,38.1,7.0073,33.5,65.8,33.7
58.0413,36.9,54.9,37.5,5.6327,33.7,67.1,33.5
55.221,37.8,56.6,37.3,4.3055,33.6,68.2,33.3
51.5633,39.2,58.4,36.7,3.081,33.8,67.9,33.2
42.3756,38,59,36.3,1.9276,33.2,68.8,33.1
37.2248,37.2,59.9,35.6,0.2133,33.3,69,33
